CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JD394851,10/08/2020 09:00:00 AM,021XX W CUYLER AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,1911,47,11,1161290,1926881,41.955046217,-87.682461995,"(41.955046217, -87.682461995)"
JD363304,09/11/2020 12:15:00 AM,039XX W MONTROSE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,1723,35,04A,1149113,1928945,41.96095504,-87.727173439,"(41.96095504, -87.727173439)"
JD393327,10/08/2020 07:30:00 AM,047XX S CHAMPLAIN AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,223,4,06,1181399,1873687,41.808636571,-87.610186264,"(41.808636571, -87.610186264)"
JD365828,09/11/2020 03:35:00 PM,051XX S DREXEL AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,233,5,06,1183121,1871003,41.801231529,-87.60395396,"(41.801231529, -87.60395396)"
JD315592,07/30/2020 06:15:00 PM,002XX N KEELER AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,SCHOOL - PUBLIC BUILDING,N,N,1114,28,26,1148358,1900901,41.884014312,-87.730673844,"(41.884014312, -87.730673844)"
JD363477,09/11/2020 06:30:00 AM,033XX S HAMILTON AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,RESIDENCE,Y,N,912,25,15,1162558,1882599,41.833506372,-87.679041998,"(41.833506372, -87.679041998)"
JD351799,08/31/2020 02:54:00 PM,069XX S PULASKI RD,0850,THEFT,ATTEMPT THEFT,RESTAURANT,N,N,833,13,06,1150901,1858084,41.766469274,-87.722453549,"(41.766469274, -87.722453549)"
JD364618,09/11/2020 12:00:00 PM,063XX S GREENWOOD AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,N,Y,314,20,26,1184502,1862925,41.779032556,-87.599142391,"(41.779032556, -87.599142391)"
JD218951,04/28/2020 10:39:00 AM,079XX S PAXTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,414,8,14,1192243,1852767,41.750973348,-87.571093674,"(41.750973348, -87.571093674)"
JD363753,09/11/2020 12:15:00 PM,008XX N CENTRAL PARK AVE,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,ALLEY,Y,N,1121,27,18,1152232,1905320,41.896064961,-87.716331324,"(41.896064961, -87.716331324)"
JD364301,09/11/2020 06:15:00 AM,047XX N CENTRAL PARK AVE,031A,ROBBERY,ARMED - HANDGUN,ALLEY,N,N,1723,35,03,1151531,1931281,41.9673179,-87.718221895,"(41.9673179, -87.718221895)"
JD365291,09/11/2020 12:00:00 AM,008XX N KOLIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1111,37,14,1147223,1905207,41.895852251,-87.734731416,"(41.895852251, -87.734731416)"
JD364346,09/11/2020 11:21:00 PM,0000X N LECLAIRE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,N,1533,28,08B,1142386,1899699,41.880828867,-87.752633786,"(41.880828867, -87.752633786)"
JD365727,09/11/2020 02:00:00 PM,041XX S MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,N,N,213,3,14,1177843,1877641,41.819568055,-87.623108919,"(41.819568055, -87.623108919)"
JD364315,09/11/2020 09:20:00 PM,087XX S DR MARTIN LUTHER KING JR DR,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,632,9,15,1180443,1847145,41.735824666,-87.614506287,"(41.735824666, -87.614506287)"
JD363836,09/11/2020 08:00:00 AM,028XX E 84TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER (SPECIFY),N,N,423,10,08A,1196713,1849826,41.742793185,-87.55481125,"(41.742793185, -87.55481125)"
JD364291,09/11/2020 08:40:00 PM,045XX S WESTERN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,922,15,06,1161131,1874302,41.810768138,-87.684507864,"(41.810768138, -87.684507864)"
JD363342,09/11/2020 01:20:00 AM,008XX N KILPATRICK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1111,37,08B,1144829,1904983,41.895283067,-87.743529811,"(41.895283067, -87.743529811)"
JD364250,09/11/2020 08:25:00 PM,086XX S STONY ISLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER (SPECIFY),N,N,412,8,07,1188302,1848188,41.738503031,-87.585680998,"(41.738503031, -87.585680998)"
JD364316,09/11/2020 09:41:00 PM,019XX N CALIFORNIA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,Y,N,1421,1,14,1157394,1912804,41.916498253,-87.69716843,"(41.916498253, -87.69716843)"
JD363653,09/11/2020 09:26:00 AM,022XX W MARQUETTE RD,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,N,N,832,16,26,1162447,1860183,41.771996408,-87.680074393,"(41.771996408, -87.680074393)"
JD364243,09/11/2020 08:20:00 PM,064XX S DR MARTIN LUTHER KING JR DR,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,312,20,14,1180030,1862323,41.777484213,-87.615555409,"(41.777484213, -87.615555409)"
JD364299,09/11/2020 09:20:00 PM,086XX S EXCHANGE AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,Y,N,423,10,26,1197310,1848263,41.73848935,-87.552675826,"(41.73848935, -87.552675826)"
JD363460,09/11/2020 07:00:00 AM,033XX W HOLLYWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1711,39,14,1152877,1937674,41.984834043,-87.713102584,"(41.984834043, -87.713102584)"
JD364261,09/11/2020 08:10:00 PM,053XX S RACINE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,934,20,15,1169232,1869362,41.797040561,-87.654937187,"(41.797040561, -87.654937187)"
JD393346,10/08/2020 07:45:00 PM,061XX S WABASH AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,311,20,05,1177772,1864257,41.782842728,-87.623774676,"(41.782842728, -87.623774676)"
JD364235,09/11/2020 08:10:00 PM,011XX S CANAL ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,124,25,06,1173303,1895451,41.868541914,-87.639235361,"(41.868541914, -87.639235361)"
JD392458,10/08/2020 03:30:00 AM,012XX W 97TH PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,N,N,2213,21,05,1169692,1840190,41.716978786,-87.654094946,"(41.716978786, -87.654094946)"
JD363438,09/11/2020 07:30:00 AM,074XX S ASHLAND AVE,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,STREET,N,N,735,17,03,1166969,1855493,41.759030974,-87.66363196,"(41.759030974, -87.66363196)"
JD219426,04/28/2020 08:15:00 PM,071XX S EUCLID AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,333,5,06,1190279,1857964,41.765281881,-87.578123428,"(41.765281881, -87.578123428)"
JD363837,09/11/2020 01:11:00 PM,020XX W DIVISION ST,0820,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1212,1,06,1162508,1907985,41.903168938,-87.678514926,"(41.903168938, -87.678514926)"
JD364071,09/11/2020 02:40:00 PM,110XX S PARNELL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2233,34,07,1174601,1831659,41.693460792,-87.636368365,"(41.693460792, -87.636368365)"
JD363701,09/11/2020 11:30:00 AM,019XX S JEFFERSON ST,0460,BATTERY,SIMPLE,APARTMENT,N,N,1235,25,08B,1172639,1890865,41.855972297,-87.641808641,"(41.855972297, -87.641808641)"
JD364389,09/11/2020 09:30:00 PM,008XX W KINZIE ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1214,27,06,1170560,1902893,41.889023706,-87.649087622,"(41.889023706, -87.649087622)"
JD366092,09/11/2020 07:12:00 PM,088XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,CTA BUS STOP,N,N,632,8,08B,1183103,1846720,41.734597039,-87.604774309,"(41.734597039, -87.604774309)"
JD363774,09/11/2020 10:00:00 AM,075XX S CARPENTER ST,0560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,N,N,612,17,08A,1170620,1854788,41.757017588,-87.650271744,"(41.757017588, -87.650271744)"
JD364296,09/11/2020 08:40:00 PM,006XX W HARRISON ST,0810,THEFT,OVER $500,STREET,N,N,124,25,06,1172257,1897564,41.874363279,-87.643013039,"(41.874363279, -87.643013039)"
JD363566,09/11/2020 10:15:00 AM,070XX S HARPER AVE,0475,BATTERY,OF AN UNBORN CHILD,RESIDENCE,N,Y,332,5,08B,1187600,1858622,41.767151617,-87.587921733,"(41.767151617, -87.587921733)"
JD397017,09/16/2020 01:00:00 PM,085XX S MARYLAND AVE,1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,632,8,11,1183382,1848585,41.739708321,-87.60369426,"(41.739708321, -87.60369426)"
JD393137,10/08/2020 07:30:00 AM,062XX S WHIPPLE ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,823,16,05,1157122,1863107,41.780129628,-87.699515339,"(41.780129628, -87.699515339)"
JD364357,09/11/2020 10:44:00 PM,008XX N TRUMBULL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,N,1121,27,08B,1153223,1905475,41.896470682,-87.712687444,"(41.896470682, -87.712687444)"
JD364138,09/11/2020 06:00:00 PM,071XX S YATES BLVD,0820,THEFT,$500 AND UNDER,RESTAURANT,N,N,334,5,06,1193449,1858043,41.7654217,-87.566502044,"(41.7654217, -87.566502044)"
JD368866,09/11/2020 12:00:00 PM,081XX S RACINE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,N,N,613,21,07,1169735,1850892,41.74634568,-87.653627921,"(41.74634568, -87.653627921)"
JD364028,09/11/2020 03:00:00 PM,020XX W IRVING PARK RD,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,N,N,1911,47,26,1161839,1926552,41.954131965,-87.680452988,"(41.954131965, -87.680452988)"
JD368053,09/02/2020 04:15:00 PM,025XX W MONTROSE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOSPITAL BUILDING / GROUNDS,N,N,1911,47,11,1158462,1929134,41.961287044,-87.692796336,"(41.961287044, -87.692796336)"
JD364309,09/11/2020 09:32:00 PM,044XX N ELSTON AVE,0460,BATTERY,SIMPLE,CONVENIENCE STORE,N,N,1722,39,08B,1148266,1929077,41.961333657,-87.730284063,"(41.961333657, -87.730284063)"
JD363561,09/11/2020 06:47:00 AM,033XX S HAMILTON AVE,2012,NARCOTICS,MANUFACTURE / DELIVER - COCAINE,RESIDENCE,Y,N,912,25,18,1162558,1882599,41.833506372,-87.679041998,"(41.833506372, -87.679041998)"
JD367289,09/11/2020 07:00:00 PM,053XX S SACRAMENTO AVE,0810,THEFT,OVER $500,RESIDENCE,N,N,923,14,06,1157289,1868879,41.795965433,-87.698746899,"(41.795965433, -87.698746899)"
JD363912,09/11/2020 03:10:00 PM,028XX N CAMPBELL AVE,031A,ROBBERY,ARMED - HANDGUN,ALLEY,N,N,1411,33,03,1159200,1918762,41.932810478,-87.690369101,"(41.932810478, -87.690369101)"
JD357945,09/05/2020 10:00:00 PM,012XX W ERIE ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,N,N,1215,1,20,1168024,1904498,41.893483052,-87.65835439,"(41.893483052, -87.65835439)"
JD364223,09/11/2020 11:00:00 AM,006XX W PATTERSON AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1925,46,05,1171073,1924660,41.948742199,-87.64656355,"(41.948742199, -87.64656355)"
JD363965,09/11/2020 03:55:00 PM,0000X N LOREL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1522,28,14,1140716,1899805,41.881150589,-87.758763376,"(41.881150589, -87.758763376)"
JD363300,09/11/2020 12:15:00 AM,080XX S KIMBARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,411,8,08B,1186274,1851956,41.748890913,-87.592992275,"(41.748890913, -87.592992275)"
JD393036,10/08/2020 05:10:00 PM,032XX W NORTH AVE,0460,BATTERY,SIMPLE,SIDEWALK,N,N,1421,26,08B,1154565,1910454,41.910106765,-87.707625112,"(41.910106765, -87.707625112)"
JD364240,09/11/2020 07:58:00 PM,038XX W ROOSEVELT RD,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,Y,N,1011,24,26,1151170,1894442,41.866235446,-87.720517147,"(41.866235446, -87.720517147)"
JD218783,04/28/2020 04:24:00 AM,068XX S CHAMPLAIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,321,20,14,1181745,1859742,41.770362245,-87.60934793,"(41.770362245, -87.60934793)"
JD364943,09/11/2020 08:00:00 PM,024XX N AUSTIN AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,2512,30,06,1135989,1915642,41.924694823,-87.775742939,"(41.924694823, -87.775742939)"
JD364101,09/11/2020 05:38:00 PM,013XX W EDDY ST,0560,ASSAULT,SIMPLE,RESIDENCE - YARD (FRONT / BACK),N,N,1924,44,08A,1166706,1923687,41.946167141,-87.662643751,"(41.946167141, -87.662643751)"
JD218754,04/28/2020 02:03:00 AM,005XX N KEDZIE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,1221,27,04A,1154947,1903451,41.890882237,-87.706409791,"(41.890882237, -87.706409791)"
JD364027,09/11/2020 04:42:00 PM,016XX S HARDING AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,1014,24,04B,1150327,1891471,41.858099141,-87.723689347,"(41.858099141, -87.723689347)"
JD364674,09/11/2020 07:00:00 PM,061XX W CORNELIA AVE,0810,THEFT,OVER $500,STREET,N,N,1633,36,06,1134895,1922635,41.943903845,-87.77959688,"(41.943903845, -87.77959688)"
JD363469,09/11/2020 01:00:00 AM,003XX W 105TH PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,512,34,07,1175934,1834967,41.702508728,-87.631389267,"(41.702508728, -87.631389267)"
JD364355,09/11/2020 10:30:00 PM,004XX N MC CLURG CT,0810,THEFT,OVER $500,STREET,N,N,1834,42,06,1179117,1903432,41.890311207,-87.617646823,"(41.890311207, -87.617646823)"
JD366655,09/11/2020 05:45:00 PM,011XX N MILWAUKEE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1213,27,07,1165952,1907936,41.902961643,-87.665865852,"(41.902961643, -87.665865852)"
JD364377,09/11/2020 10:34:00 PM,116XX S ADA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,524,34,14,1169424,1827515,41.682202359,-87.655441904,"(41.682202359, -87.655441904)"
JD364728,09/11/2020 04:00:00 PM,008XX N LAWNDALE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,N,N,1112,27,05,1151567,1905313,41.89605885,-87.718773934,"(41.89605885, -87.718773934)"
JD364413,09/11/2020 09:12:00 PM,0000X S KENTON AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,1113,28,16,1145662,1899532,41.880309142,-87.740608663,"(41.880309142, -87.740608663)"
JD364103,09/11/2020 05:37:00 PM,036XX W CERMAK RD,0460,BATTERY,SIMPLE,STREET,N,N,1014,24,08B,1152462,1889137,41.851652503,-87.715914119,"(41.851652503, -87.715914119)"
JD364199,09/11/2020 02:45:00 PM,001XX S WACKER DR,0460,BATTERY,SIMPLE,SIDEWALK,N,N,122,42,08B,1173883,1899742,41.88030381,-87.636978269,"(41.88030381, -87.636978269)"
JD364093,09/11/2020 05:37:00 PM,026XX W FITCH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2411,50,08B,1157485,1947335,42.011251389,-87.695890279,"(42.011251389, -87.695890279)"
JD363945,09/11/2020 03:26:00 PM,061XX N CLAREMONT AVE,0460,BATTERY,SIMPLE,ALLEY,N,N,2413,40,08B,1159541,1940634,41.992821363,-87.68851108,"(41.992821363, -87.68851108)"
JD363415,09/11/2020 06:48:00 AM,041XX W NORTH AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,2534,26,08A,1148353,1910309,41.909830954,-87.730449441,"(41.909830954, -87.730449441)"
JD367669,09/10/2020 09:00:00 PM,058XX N KENMORE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,2022,48,11,1168188,1938967,41.988064008,-87.656752921,"(41.988064008, -87.656752921)"
JD364363,09/11/2020 10:40:00 PM,047XX W BELLE PLAINE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,1722,45,08B,1143927,1926916,41.955486378,-87.74629118,"(41.955486378, -87.74629118)"
JD363479,09/11/2020 08:20:00 AM,046XX W JACKSON BLVD,0880,THEFT,PURSE-SNATCHING,CTA BUS STOP,N,N,1131,28,06,1145399,1898284,41.876889461,-87.741605976,"(41.876889461, -87.741605976)"
JD361890,09/09/2020 05:10:00 PM,042XX W VAN BUREN ST,031A,ROBBERY,ARMED - HANDGUN,STREET,N,N,1132,28,03,1148108,1897683,41.875188566,-87.73167472,"(41.875188566, -87.73167472)"
JD364654,09/11/2020 05:00:00 PM,011XX N LEAMINGTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1531,37,14,1141824,1907005,41.900887827,-87.754516465,"(41.900887827, -87.754516465)"
JD367858,09/11/2020 11:00:00 AM,063XX S ST LAWRENCE AVE,0820,THEFT,$500 AND UNDER,VACANT LOT / LAND,N,N,312,20,06,1181327,1863021,41.779369787,-87.610779149,"(41.779369787, -87.610779149)"
JD363986,09/11/2020 03:07:00 PM,078XX S WABASH AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE - PORCH / HALLWAY,N,N,623,6,04B,1178068,1853118,41.752269397,-87.623026716,"(41.752269397, -87.623026716)"
JD365384,09/11/2020 05:30:00 PM,071XX S WASHTENAW AVE,0460,BATTERY,SIMPLE,SIDEWALK,N,N,831,18,08B,1159610,1857122,41.763655237,-87.690557874,"(41.763655237, -87.690557874)"
JD368066,09/06/2020 10:00:00 AM,079XX S RACINE AVE,0460,BATTERY,SIMPLE,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,N,N,612,17,08B,1169702,1852085,41.749620149,-87.653714313,"(41.749620149, -87.653714313)"
JD364432,09/11/2020 08:06:00 PM,0000X S KILBOURN AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,1113,28,16,1146395,1899527,41.880281499,-87.737917265,"(41.880281499, -87.737917265)"
JD363379,09/11/2020 04:58:00 AM,035XX W ARMITAGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1413,26,08B,1152830,1913069,41.917317112,-87.713929467,"(41.917317112, -87.713929467)"
JD364233,09/11/2020 07:58:00 PM,031XX W ARMITAGE AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1414,32,06,1155045,1913118,41.917407385,-87.70579017,"(41.917407385, -87.70579017)"
JD364629,09/11/2020 08:00:00 PM,079XX S WESTERN AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,N,N,835,18,03,1161754,1852117,41.749876545,-87.682838316,"(41.749876545, -87.682838316)"
JD363976,09/11/2020 03:00:00 PM,033XX W CARROLL AVE,0460,BATTERY,SIMPLE,RESIDENCE,N,N,1123,28,08B,1154031,1902203,41.887475918,-87.709807121,"(41.887475918, -87.709807121)"
JD363340,09/11/2020 01:17:00 AM,011XX N AVERS AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,1112,37,03,1150511,1907228,41.901334494,-87.722602365,"(41.901334494, -87.722602365)"
JD363883,09/11/2020 11:45:00 AM,062XX S INGLESIDE AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,313,20,06,1183525,1863737,41.781283592,-87.602698826,"(41.781283592, -87.602698826)"
JD368090,08/10/2020 05:15:00 AM,013XX S LAWNDALE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,1011,24,26,1151923,1893457,41.86351771,-87.717778727,"(41.86351771, -87.717778727)"
JD363405,09/11/2020 06:30:00 AM,032XX W 64TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,823,17,14,1155827,1862001,41.777120695,-87.704292712,"(41.777120695, -87.704292712)"
JD363456,09/11/2020 08:00:00 AM,018XX S ST LOUIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1021,24,08B,1153327,1890808,41.856220811,-87.712695002,"(41.856220811, -87.712695002)"
JD364146,09/11/2020 05:00:00 PM,032XX W 55TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,822,14,08B,1155567,1867964,41.793489253,-87.705086148,"(41.793489253, -87.705086148)"
JD364422,09/11/2020 07:15:00 AM,033XX N OSCEOLA AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1631,29,06,1125831,1921317,41.940442935,-87.812942104,"(41.940442935, -87.812942104)"
JD364619,09/11/2020 07:35:00 PM,034XX W POLK ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,1133,24,26,1153553,1896157,41.870894581,-87.711723302,"(41.870894581, -87.711723302)"
JD364228,09/11/2020 07:22:00 PM,048XX W VAN BUREN ST,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,Y,N,1533,24,18,1144142,1897573,41.874962077,-87.746239211,"(41.874962077, -87.746239211)"
JD367709,09/11/2020 11:00:00 PM,079XX S CALUMET AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,623,6,06,1179847,1852530,41.750615371,-87.616525456,"(41.750615371, -87.616525456)"
JD364370,09/11/2020 10:30:00 PM,078XX S WOOD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,611,17,15,1165711,1852722,41.751453743,-87.66832098,"(41.751453743, -87.66832098)"
JD363419,09/11/2020 06:45:00 AM,0000X W TERMINAL ST,0554,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,Y,N,1653,41,08A,1101811,1934419,41.976762981,-87.900983721,"(41.976762981, -87.900983721)"
JD363358,09/11/2020 03:00:00 AM,026XX W POTOMAC AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - YARD (FRONT / BACK),N,N,1423,26,08B,1158611,1908546,41.904789104,-87.692814025,"(41.904789104, -87.692814025)"
JD363938,09/11/2020 03:25:00 PM,055XX S LAFLIN ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,713,16,04B,1167286,1867876,41.793004722,-87.662115949,"(41.793004722, -87.662115949)"
JD363317,09/11/2020 12:05:00 AM,049XX S TRIPP AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,N,N,815,14,04A,1148859,1871630,41.803681203,-87.729589709,"(41.803681203, -87.729589709)"
JD364362,09/11/2020 10:21:00 PM,029XX W 87TH ST,0560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,835,18,08A,1158265,1846779,41.735299884,-87.695768531,"(41.735299884, -87.695768531)"
JD393139,10/08/2020 11:00:00 AM,017XX S STATE ST,0890,THEFT,FROM BUILDING,OTHER (SPECIFY),N,N,131,3,06,1176607,1891853,41.858594819,-87.627214427,"(41.858594819, -87.627214427)"
JD364616,09/11/2020 07:30:00 PM,070XX S BISHOP ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,734,17,08B,1167885,1857997,41.765882664,-87.660203048,"(41.765882664, -87.660203048)"
JD368177,09/10/2020 06:05:00 PM,002XX E LOWER NORTH WATER ST,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1834,42,26,1177769,1903333,41.890070292,-87.622600255,"(41.890070292, -87.622600255)"
JD364273,09/11/2020 07:33:00 PM,015XX E 61ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,314,5,08B,1187632,1864700,41.783829393,-87.587611258,"(41.783829393, -87.587611258)"
JD396775,08/11/2020 02:30:00 PM,0000X W MONROE ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER (SPECIFY),N,N,112,42,11,1175804,1899905,41.880708104,-87.629919733,"(41.880708104, -87.629919733)"
JD392334,10/08/2020 12:31:00 AM,008XX W IRVING PARK RD,0460,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,Y,N,1915,46,08B,1169789,1926761,41.954535555,-87.651221802,"(41.954535555, -87.651221802)"
JD364181,09/11/2020 05:50:00 PM,015XX N SHEFFIELD AVE,0870,THEFT,POCKET-PICKING,GROCERY FOOD STORE,N,N,1822,27,06,1169405,1910555,41.91007391,-87.653106106,"(41.91007391, -87.653106106)"
JD363804,09/11/2020 01:04:00 PM,001XX W 91ST PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,634,21,08B,1177091,1844462,41.728538341,-87.626867376,"(41.728538341, -87.626867376)"
JD365656,09/11/2020 08:00:00 AM,031XX W FULLERTON AVE,0810,THEFT,OVER $500,RESIDENCE - GARAGE,N,N,1414,32,06,,,,,
JD364231,09/11/2020 12:00:00 PM,089XX S ADA ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),N,Y,2222,21,26,1168894,1845515,41.731608618,-87.656864409,"(41.731608618, -87.656864409)"
JD364385,09/11/2020 11:25:00 PM,025XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),Y,Y,133,4,08B,1177647,1887564,41.846801978,-87.623527134,"(41.846801978, -87.623527134)"
JD367933,09/06/2020 04:00:00 PM,024XX W 51ST ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,923,14,06,1161020,1870793,41.801141301,-87.685012091,"(41.801141301, -87.685012091)"
JD364438,09/11/2020 11:42:00 PM,029XX S DEARBORN ST,0554,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",STREET,Y,N,133,3,08A,1176406,1885545,41.841289747,-87.628142362,"(41.841289747, -87.628142362)"
JD363367,09/11/2020 03:37:00 AM,049XX N MENARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1622,45,08B,1136510,1932526,41.971016931,-87.773423246,"(41.971016931, -87.773423246)"
JD363873,09/11/2020 02:30:00 PM,014XX N SEDGWICK ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,COMMERCIAL / BUSINESS OFFICE,N,N,1821,27,11,1173383,1910000,41.908463464,-87.638509169,"(41.908463464, -87.638509169)"
